 0.00000	 5.00000
 0.00100	 4.75528
 0.00200	 4.04508
 0.00300	 2.93893
 0.00400	 1.54508
 0.00500	 0.00000
 0.00600	-1.54508
 0.00700	-2.93893
 0.00800	-4.04508
 0.00900	-4.75528
 0.01000	-5.00000
 0.01100	-4.75528
 0.01200	-4.04508
 0.01300	-2.93893
 0.01400	-1.54508
 0.01500	-0.00000
 0.01600	 1.54508
 0.01700	 2.93893
 0.01800	 4.04508
 0.01900	 4.75528
 0.02000	 5.00000
 0.02100	 4.75528
 0.02200	 4.04508
 0.02300	 2.93893
 0.02400	 1.54508
 0.02500	-0.00000
 0.02600	-1.54508
 0.02700	-2.93893
 0.02800	-4.04508
 0.02900	-4.75528
 0.03000	-5.00000
 0.03100	-4.75528
 0.03200	-4.04508
 0.03300	-2.93893
 0.03400	-1.54508
 0.03500	 0.00000
 0.03600	 1.54508
 0.03700	 2.93893
 0.03800	 4.04508
 0.03900	 4.75528
 0.04000	 5.00000
 0.04100	 4.75528
 0.04200	 4.04508
 0.04300	 2.93893
 0.04400	 1.54508
 0.04500	 0.00000
 0.04600	-1.54508
 0.04700	-2.93893
 0.04800	-4.04508
 0.04900	-4.75528
 0.05000	-5.00000
 0.05100	-4.75528
 0.05200	-4.04508
 0.05300	-2.93893
 0.05400	-1.54508
 0.05500	 0.00000
 0.05600	 1.54508
 0.05700	 2.93893
 0.05800	 4.04508
 0.05900	 4.75528
 0.06000	 5.00000
 0.06100	 4.75528
 0.06200	 4.04508
 0.06300	 2.93893
 0.06400	 1.54508
 0.06500	-0.00000
 0.06600	-1.54508
 0.06700	-2.93893
 0.06800	-4.04508
 0.06900	-4.75528
 0.07000	-5.00000
 0.07100	-4.75528
 0.07200	-4.04508
 0.07300	-2.93893
 0.07400	-1.54508
 0.07500	 0.00000
 0.07600	 1.54508
 0.07700	 2.93893
 0.07800	 4.04508
 0.07900	 4.75528
 0.08000	 5.00000
 0.08100	 4.75528
 0.08200	 4.04508
 0.08300	 2.93893
 0.08400	 1.54508
 0.08500	-0.00000
 0.08600	-1.54508
 0.08700	-2.93893
 0.08800	-4.04508
 0.08900	-4.75528
 0.09000	-5.00000
 0.09100	-4.75528
 0.09200	-4.04508
 0.09300	-2.93893
 0.09400	-1.54508
 0.09500	 0.00000
 0.09600	 1.54508
 0.09700	 2.93893
 0.09800	 4.04508
 0.09900	 4.75528
